iter	RMSE
271	18202.53107
272	18173.08701
273	18135.56301
274	18105.4569
275	18087.38445
276	18073.88637
277	18034.076
278	18002.34577
279	17969.50186
280	17941.8602
281	17908.15697
282	17889.20488
283	17880.2484
284	17848.69259
285	17818.20883
286	17806.37267
287	17788.33279
288	17775.65516
289	17748.01822
290	17710.93104
291	17691.95194
292	17683.78091
293	17666.08548
294	17636.79575
295	17619.54444
296	17602.86951
297	17573.68036
298	17540.43941
299	17532.53748
300	17504.96216
301	17495.99044
302	17458.34534
303	17412.38153
304	17373.27541
305	17345.21172
306	17305.309
307	17274.15913
308	17264.92492
309	17256.01274
310	17221.42474
311	17178.55078
312	17172.23557
313	17141.09754
314	17133.77556
315	17094.5128
316	17065.7048
317	17057.19069
318	17050.87023
319	17030.81044
320	16989.021
321	16962.63639
322	16950.55951
323	16903.86293
324	16870.73723
325	16861.10576
326	16854.41536
327	16817.66229
328	16810.28089
329	16773.08381
330	16765.73668
331	16758.5422
332	16743.81815
333	16737.38771
334	16731.75065
335	16701.359
336	16692.88498
337	16660.05674
338	16645.04392
339	16618.51079
340	16613.08722
341	16580.03607
342	16544.47915
343	16518.04355
344	16512.83023
345	16470.97614
346	16445.97229
347	16439.42261
348	16417.93954
349	16394.43104
350	16363.41206
351	16357.7161
352	16352.58051
353	16321.65071
354	16287.12649
355	16263.85211
356	16242.21925
357	16206.26352
358	16200.55064
359	16194.54033
360	16162.55791
361	16142.11871
362	16120.91952
363	16092.22686
364	16061.66108
365	16038.22492
366	16030.59265
367	16011.23048
368	16006.70535
369	16002.15375
370	15978.37521
371	15953.36414
372	15929.46161
373	15912.57422
374	15876.56432
375	15847.40467
376	15819.07725
377	15814.66059
378	15775.66623
379	15770.84974
380	15744.18302
381	15739.24459
382	15730.19614
383	15702.66488
384	15666.04931
385	15645.18562
386	15641.01245
387	15636.28731
388	15626.89141
389	15594.00842
390	15571.6957
391	15551.53782
392	15540.54437
393	15511.5004
394	15480.48902
395	15448.97171
396	15421.73833
397	15417.80674
398	15382.95713
399	15371.45036
400	15362.20901
401	15348.30698
402	15311.58537
403	15284.26792
404	15280.44572
405	15269.69439
406	15243.34059
407	15238.88366
408	15210.77592
409	15189.11027
410	15160.21662
411	15132.81956
412	15115.11135
413	15090.78549
414	15086.48279
415	15056.78352
416	15035.11481
417	15003.74755
418	15000.12025
419	14987.54041
420	14970.54095
421	14966.98596
422	14962.81046
423	14944.49646
424	14931.79562
425	14922.16272
426	14918.07223
427	14914.04225
428	14897.93575
429	14894.04737
430	14868.09395
431	14858.58898
432	14830.42566
433	14802.88439
434	14776.90954
435	14773.04193
436	14757.53971
437	14737.40635
438	14714.08696
439	14685.37103
440	14669.43555
441	14665.75806
442	14643.49803
443	14639.77463
444	14615.82375
445	14612.25999
446	14602.228
447	14587.11616
448	14583.62471
449	14573.89645
450	14545.08732
451	14526.99425
452	14519.22359
453	14492.29984
454	14469.83671
455	14444.71709
456	14427.57935
457	14412.46513
458	14409.41507
459	14398.33845
460	14381.28599
461	14367.32146
462	14342.53039
463	14316.86012
464	14293.42732
465	14264.96578
466	14261.67953
467	14258.45227
468	14255.15232
469	14245.83
470	14242.61575
471	14239.40405
472	14218.18317
473	14210.79015
474	14193.20947
475	14175.95314
476	14168.70052
477	14150.75159
478	14147.74012
479	14136.21151
480	14118.21751
481	14093.09068
482	14059.41944
483	14038.23467
484	14015.05025
485	13995.18405
486	13992.18736
487	13970.1059
488	13942.84333
489	13916.13889
490	13895.46664
491	13867.64615
492	13846.13782
493	13830.56437
494	13812.55416
495	13792.83392
496	13790.21763
497	13778.5659
498	13763.4972
499	13741.41289
500	13734.09021
501	13717.15025
502	13691.76842
503	13673.31813
504	13670.39567
505	13663.2604
506	13640.72836
507	13637.799
508	13634.98907
509	13623.22756
510	13601.88523
511	13599.1102
512	13596.30905
513	13593.58059
514	13567.25643
515	13550.17397
516	13547.54277
517	13528.03688
518	13515.2611
519	13488.87892
520	13486.26908
521	13465.95885
522	13449.6154
523	13425.7476
524	13423.19519
525	13411.17096
526	13392.98957
527	13371.44132
528	13346.69769
529	13329.12209
530	13316.97423
531	13296.15582
532	13272.11383
533	13252.20482
534	13229.24546
535	13212.39726
536	13209.95793
537	13203.36234
538	13179.7686
539	13177.37887
540	13155.74187
541	13137.29763
542	13120.6032
543	13103.27656
544	13081.75915
545	13057.76475
546	13038.96458
547	13033.17856
548	13026.90493
549	13005.65071
550	12988.19334
551	12967.44057
552	12946.37128
553	12933.40072
554	12927.56564
555	12899.40924
556	12888.28526
557	12867.2148
558	12846.90937
559	12829.823
560	12820.71066
561	12807.82365
562	12782.70448
563	12764.15157
564	12738.5843
565	12722.77699
566	12704.28123
567	12684.24888
568	12670.48149
569	12652.83558
570	12650.62401
571	12626.3506
572	12613.53687
573	12592.57883
574	12572.3437
575	12567.88801
576	12542.97631
577	12540.81191
578	12533.63371
579	12513.5905
580	12500.93072
581	12498.79376
582	12487.97245
583	12485.86306
584	12475.48692
585	12454.8076
586	12440.4374
587	12428.63463
588	12404.14853
589	12402.09626
590	12382.16442
591	12366.31221
592	12364.2896
593	12342.04697
594	12327.29834
595	12306.56729
596	12304.56871
597	12292.55518
598	12268.29757
599	12249.92318
600	12242.51307
601	12231.076
602	12206.14251
603	12195.56044
604	12180.28603
605	12158.75666
606	12148.10566
607	12146.14779
608	12141.15887
609	12131.80821
610	12128.68336
611	12115.13421
612	12097.59567
613	12072.49526
614	12053.26905
615	12036.89418
616	12016.84594
617	11994.74641
618	11992.82917
619	11971.00492
620	11951.97274
621	11938.85947
622	11936.96855
623	11927.65634
624	11920.80696
625	11896.13162
626	11879.51152
627	11865.95502
628	11854.32843
629	11842.25173
630	11827.82386
631	11816.20837
632	11795.49929
633	11783.88082
634	11772.70275
635	11768.64869
636	11764.81104
637	11752.0475
638	11747.01722
639	11733.24265
640	11731.40161
641	11717.94116
642	11698.3069
643	11696.48758
644	11680.0303
645	11669.47343
646	11657.32997
647	11644.10859
648	11622.55105
649	11612.89762
650	11590.20514
651	11569.79506
652	11553.4906
653	11533.14516
654	11512.9842
655	11493.1426
656	11470.01822
657	11468.24394
658	11444.45136
659	11433.84505
660	11421.67657
661	11417.9483
662	11414.00548
663	11400.04294
664	11387.15093
665	11369.88815
666	11349.52072
667	11337.64483
668	11318.5647
669	11303.68823
670	11281.69342
671	11270.35714
672	11258.20529
673	11245.13242
674	11227.17496
675	11200.71182
676	11189.35936
677	11170.6515
678	11168.89762
679	11159.12947
680	11142.46987
681	11136.20482
682	11118.23707
683	11097.20962
684	11078.71114
685	11074.98072
686	11063.90757
687	11045.46917
688	11025.83308
689	11022.49099
690	11006.5616
691	10994.8409
692	10991.40254
693	10978.42896
694	10963.96924
695	10946.48056
696	10929.54503
697	10920.78852
698	10904.15751
699	10890.93077
700	10878.39314
701	10858.61313
702	10857.00758
703	10842.8901
704	10827.60932
705	10807.71738
706	10784.79859
707	10774.79611
708	10754.73429
709	10751.19005
710	10735.17036
711	10723.98003
712	10702.62692
713	10692.39839
714	10684.02191
715	10670.38473
716	10656.75824
717	10644.76849
718	10634.94669
719	10632.82945
720	10616.96485
721	10597.80252
722	10582.19535
723	10570.14166
724	10557.07776
725	10533.77691
726	10530.75676
727	10522.07872
728	10511.91372
729	10510.26703
730	10501.32114
731	10489.3588
732	10473.08393
733	10459.94088
734	10447.65225
735	10436.15511
736	10424.9371
737	10410.20564
738	10398.32348
739	10381.38896
740	10366.89352
741	10349.01696
742	10347.41941
743	10337.70563
744	10321.88912
745	10308.3219
746	10297.22542
747	10282.51884
748	10274.52188
749	10259.93007
750	10239.90898
751	10226.42427
752	10210.74784
753	10198.44796
754	10182.41315
755	10174.85862
756	10167.44918
757	10144.44049
758	10127.46596
759	10108.87793
760	10093.82318
761	10082.29756
762	10063.40632
763	10045.28686
764	10043.81356
765	10031.07257
766	10029.54669
767	10022.31379
768	10008.43665
769	9986.307808
770	9974.93793
771	9960.975387
772	9959.550553
773	9947.372439
774	9941.360854
775	9927.687092
776	9914.617091
777	9901.985179
778	9886.962405
779	9874.686621
780	9860.646351
781	9846.518524
782	9834.14184
783	9819.105575
784	9812.205098
785	9798.493208
786	9788.883229
787	9774.907928
788	9765.784688
789	9753.979703
790	9741.994238
791	9730.644676
792	9726.890266
793	9712.913062
794	9711.524712
795	9694.359318
796	9683.30698
797	9668.60795
798	9667.240198
799	9656.861022
800	9648.94267
801	9638.721609
802	9637.288927
803	9621.215339
804	9599.811122
805	9588.299259
806	9575.131728
807	9560.230354
808	9548.454262
809	9547.035322
810	9537.2246
811	9524.925549
812	9521.195145
813	9505.986261
814	9502.442448
815	9494.585698
816	9484.741861
817	9474.734693
818	9463.676877
819	9462.286664
820	9452.706668
821	9444.368832
822	9426.936176
823	9415.349584
824	9404.805449
825	9394.795621
826	9387.286558
827	9377.083484
828	9364.636378
829	9363.346284
830	9352.253582
831	9340.623171
832	9338.798628
833	9336.181712
834	9327.140495
835	9324.500452
836	9323.107688
837	9314.069853
838	9294.110153
839	9290.147766
840	9285.129353
841	9283.822728
842	9273.440013
843	9271.615177
844	9267.5192
845	9258.644529
846	9246.392282
847	9238.690142
848	9224.286349
849	9212.269059
850	9195.623552
851	9180.609154
852	9168.872799
853	9156.1626
854	9154.900601
855	9146.57339
856	9130.878842
857	9121.604007
858	9106.14615
859	9096.995635
860	9086.563255
861	9068.36304
862	9058.824651
863	9045.352725
864	9028.709782
865	9012.505269
866	9005.646395
867	8995.470258
868	8985.06956
869	8977.710512
870	8957.728522
871	8947.691222
872	8936.665857
873	8925.943726
874	8915.931948
875	8905.667031
876	8897.691877
877	8885.35201
878	8874.414931
879	8866.185869
880	8857.919142
881	8848.309577
882	8837.693549
883	8828.865954
884	8819.082454
885	8803.520885
886	8796.42716
887	8787.045058
888	8772.142884
889	8762.637059
890	8754.731974
891	8746.100662
892	8744.811334
893	8734.761807
894	8733.547667
895	8724.349495
896	8716.799175
897	8709.077524
898	8704.389897
899	8691.879872
900	8676.927727
901	8667.461007
902	8666.399832
903	8656.242983
904	8645.387841
905	8644.205483
906	8637.121622
907	8623.892728
908	8619.522443
909	8608.957694
910	8599.839393
911	8598.211781
912	8587.965979
913	8576.052145
914	8573.280735
915	8563.438313
916	8562.253272
917	8552.877979
918	8540.551852
919	8536.48401
920	8529.579905
921	8521.345437
922	8516.013568
923	8511.909672
924	8505.852141
925	8494.709365
926	8486.659482
927	8478.30884
928	8477.112391
929	8468.906792
930	8456.728248
931	8446.76648
932	8435.329406
933	8432.931936
934	8429.101812
935	8421.869398
936	8420.747865
937	8410.212377
938	8402.155612
939	8393.723749
940	8381.571299
941	8371.689016
942	8358.472734
943	8349.776621
944	8337.204696
945	8325.387777
946	8314.400997
947	8303.576855
948	8292.70518
949	8278.644045
950	8269.728743
951	8268.607904
952	8260.616195
953	8251.862859
954	8250.81744
955	8239.041772
956	8229.980582
957	8228.828925
958	8222.462306
959	8221.384696
960	8211.939488
961	8202.700465
962	8190.197155
963	8182.54718
964	8181.15497
965	8176.224373
966	8170.497188
967	8155.31537
968	8149.872095
969	8138.232556
970	8127.783507
971	8118.979218
972	8106.362216
973	8091.664943
974	8082.867755
975	8077.338963
976	8076.131669
977	8067.888691
978	8054.183412
979	8052.909475
980	8042.886865
981	8029.815914
982	8020.03092
983	8008.646412
984	7993.659874
985	7984.770578
986	7983.740515
987	7976.55345
988	7974.3743
989	7964.361837
990	7957.086336
991	7953.353465
992	7936.015243
993	7925.123829
994	7918.070264
995	7913.40943
996	7903.657413
997	7897.263094
998	7891.32025
999	7880.006009
