user_id,signup_time
c2e117bb5f8d9107525ad234b7195eba,2018-01-01 01:12:17
8ff943305e147405b2f188a9ce52343d,2018-01-01 01:54:53
a488b0d03a56cf7f45b93981209a5a42,2018-01-01 02:00:43
450f15f6910c722cefd0b7aa17389181,2018-01-01 02:19:12
d2e5f02028da9445537913c73cdc5f4c,2018-01-01 02:37:45
3b2825eb1b54022b2b1b9172c00bcfda,2018-01-01 05:22:17
66c5d6b0b99cc82d938ef6d9e289c927,2018-01-01 06:10:53
5f412b6ca7a00322b25154cdea2b934d,2018-01-01 06:46:02
3b6a3f12d513b488c9c788f5c65bac05,2018-01-01 07:52:48
d91c2a5a77357a9a178ebee66ffd24dc,2018-01-01 08:57:28
00e7a57a0be35f05daaaa5e12a813d09,2018-01-01 10:50:46
a2f818651262b21b4380e0b4146e9a5f,2018-01-01 11:53:51
2a26afc30a04ee06eaecfeeb44cf7f75,2018-01-01 11:58:51
d51b861dfd5f5b050456cfc774ce6c07,2018-01-01 12:28:08
ccd4b0743e06308aa5e67eebd5e3455c,2018-01-01 13:37:40
08ec9b363005e88fddcb806a5de7a994,2018-01-01 14:19:57
c772e6259c76b5318fe14906a1c60e59,2018-01-01 14:31:43
6e687070d3a3cfe3b016151b259ace8f,2018-01-01 14:31:51
649bba39f40ba50db89c228dd971ff35,2018-01-01 16:22:37
1af449a1e6d9028d8b791261675e165e,2018-01-01 17:00:27
e3244ca43f4dfcd95e3854a8feae43b5,2018-01-01 17:07:51
a236929e9be9f440d83f6e0f37e32225,2018-01-01 17:24:16
b253b6267de9701306a7708a3c43d4a8,2018-01-01 17:33:29
a25f16b6d519eb0c3ac50cd8a120a83a,2018-01-01 17:35:36
affd11d87405e7cbc1e4285974fac3ab,2018-01-01 17:42:33
b65e3e7d860a88acf688abdb6a4b760a,2018-01-01 17:47:10
8cb6ce4dbd9f1a17fa383d9e020e8da2,2018-01-01 19:09:41
03b87f1085275ee76581bb3728a6ff04,2018-01-01 20:13:51
7cb63c2974d75fc01afd5f5850bfa913,2018-01-01 22:14:17
261c2b56622547c6b9287f66d1a415e6,2018-01-01 23:51:43
978e7dd5eb8aa9bb35d2ee1614d885a2,2018-01-01 23:56:57
5ed4cd31bf541f5018173582e6db2856,2018-01-02 00:42:24
c657cc77d24d0d780d05c474319bebf4,2018-01-02 01:58:46
