user_id,purchase_time
3b2825eb1b54022b2b1b9172c00bcfda,2018-01-01 21:37:52
1d6b38758ce29c175ebde724a5b8e0f9,2018-01-02 09:33:27
110a49fae39f8bf4ee9ee2d40ebc5600,2018-01-02 13:07:12
ec4d8996fcbaad62ec1370b5140e3bdb,2018-01-02 18:34:07
2eb4ecb635ae8517ea29178c75aa2c0e,2018-01-02 20:10:03
c4047fd8cf53b4135d9371e70b12eeea,2018-01-02 21:49:01
2362935b60abec89036b71f6de479271,2018-01-03 13:46:41
27bd65afe6fe9d0a36a39896dc66fdf0,2018-01-03 14:16:39
051e3876448a08e98b9c5992dc412809,2018-01-03 15:34:10
05418d3295fac5d8aeeaeace819ae2ed,2018-01-03 18:41:12
2f63269f75648e6250942cbee582ab1d,2018-01-05 10:46:26
cc440513dc1b2caeed73fd67ee26d9a6,2018-01-06 08:46:18
e67944721474683c4e9a60b8aa335026,2018-01-06 19:49:46
bfc9d3ea4cc2b001d99525bfadd851dd,2018-01-06 23:39:29
bd5378b4e1f584b1413c049b4e0bbaaf,2018-01-07 09:49:14
887377e7f0c7ba5e359b6918d78fcf18,2018-01-07 10:27:01
bbd399ef306babdde982a8182aeddc37,2018-01-07 17:50:18
6c6f419e70b2dff135ac82f4fe008d29,2018-01-07 17:58:13
f4158d2ccf6aa267c49695937ac74f44,2018-01-07 23:38:46
b3ce8ffe0723d5a0a54f97f876921d19,2018-01-09 17:14:11
bb6c2b8d0bf834689fedb4d35472591e,2018-01-10 14:24:28
dc47575ed900403c9d857191eaf8a583,2018-01-10 15:11:40
163c040c93fff3ad729dd3aa9b7f271e,2018-01-10 23:59:01
68bcfcc7d0dccedf49c727c6549d5606,2018-01-11 11:43:42
2f9105840ff14219e41d790e7dbc7b58,2018-01-11 18:46:18
de0a4c1f5f761c66f3e22577d623e664,2018-01-11 19:30:27
0b8a7247d6bcc5bedf18859b3e8a1127,2018-01-11 19:40:58
bfc9d3ea4cc2b001d99525bfadd851dd,2018-01-12 00:25:21
83607557404c3916a071ccf8c202bb70,2018-01-12 15:30:10
e796027c413673cc9400ff430a419e74,2018-01-13 09:11:28
bb1e6337eb279c808cbe0c43bae0521f,2018-01-13 18:44:10
958f6f49ad4c97938b2124a4833a73f3,2018-01-13 21:43:57
9cf66901555ed3905eb39a5dc8357ba9,2018-01-14 11:07:31
2ff725100ff1a988f77de61cf2fcb40f,2018-01-14 12:16:24
b86eca9389fd6078f3ea041ece7a46a2,2018-01-14 13:46:21
f3ea4f8e5b9ae6bca0f62f792ef2431f,2018-01-14 16:52:03
179d4ab64e02abad0cabc3cc8bc65825,2018-01-14 17:19:41
bfc9d3ea4cc2b001d99525bfadd851dd,2018-01-14 23:09:59
c034386da20bad80ab231ef0781e9980,2018-01-15 20:25:19
fbae5610461a8a750312838f0e2ff10c,2018-01-15 23:07:59
431fcf9bfd10dd96e4579dd0a3827f58,2018-01-16 00:20:13
05418d3295fac5d8aeeaeace819ae2ed,2018-01-16 18:20:18
0b9b0202174a3fcdf914e3361bfec5d7,2018-01-16 22:46:06
4a17dad8441755f040555701f22d2751,2018-01-17 00:16:35
b3ce8ffe0723d5a0a54f97f876921d19,2018-01-17 19:21:28
b34699f0819d3b380704dc968a4cf145,2018-01-17 19:28:10
